theta phi time lbol MU MB MV MR MI MJ
0.966666718423 4.7124 4.0 1.49491421975e+42 -17.0035555788 -15.92563018 -15.760487293 -15.5608108117 -15.7821863386 -15.3946302103
0.966666718423 4.9218 4.0 1.48948158531e+42 -17.0459999625 -15.9233581496 -15.7516621276 -15.5490769237 -15.716397959 -15.4082209136
0.966666718423 5.1313 4.0 1.45958922316e+42 -16.9616589713 -15.9265228373 -15.709531415 -15.5153778682 -15.6952355914 -15.3394712535
0.966666718423 5.3407 4.0 1.46055903604e+42 -16.9812883101 -15.8999871323 -15.6930589806 -15.5063193268 -15.6813350984 -15.3308665687
0.966666718423 5.5501 4.0 1.41772382591e+42 -16.9365525438 -15.8879897448 -15.675010968 -15.4717397996 -15.6056215854 -15.2287601039
0.966666718423 5.7596 4.0 1.37677033869e+42 -16.9246317334 -15.852087942 -15.6606707964 -15.4597225118 -15.5632434649 -15.2793300777
0.966666718423 5.969 4.0 1.35660681128e+42 -16.8446714438 -15.8170295639 -15.6587022779 -15.4361108771 -15.6462914924 -15.3847401315
0.966666718423 6.1785 4.0 1.29443326774e+42 -16.8370338441 -15.7735613968 -15.6661390532 -15.4034939676 -15.5441670567 -15.2596955322
0.899999488481 0.1047 4.0 1.18752311495e+42 -16.7495404595 -15.6751970441 -15.4712097782 -15.2828010766 -15.5892506414 -15.1766671462
0.899999488481 0.3142 4.0 1.02794850955e+42 -16.6003641578 -15.5245257974 -15.4459249799 -15.2787624745 -15.4501112948 -15.0162451472
0.899999488481 0.5236 4.0 9.03577987358e+41 -16.4560655791 -15.4578910636 -15.3754953428 -15.1986996691 -15.3030640721 -15.0040801832
0.899999488481 0.733 4.0 8.37092481776e+41 -16.413852326 -15.3874605058 -15.2561006769 -15.0969326069 -15.293625975 -15.0038260865
0.899999488481 0.9425 4.0 8.22604403759e+41 -16.4000894722 -15.4115696868 -15.2802758287 -15.0990252727 -15.1735862322 -15.0775221008
0.899999488481 1.1519 4.0 8.62090132975e+41 -16.4515117817 -15.4401606474 -15.3211965191 -15.124607554 -15.2155170987 -15.063905475
0.899999488481 1.3614 4.0 9.27677744953e+41 -16.5039987141 -15.497507136 -15.4240711217 -15.3050107503 -15.3859614458 -15.0844264974
0.899999488481 1.5708 4.0 1.10980946802e+42 -16.6600269515 -15.6359647272 -15.5597769632 -15.3910847343 -15.4901250116 -15.3288732984
0.899999488481 1.7802 4.0 1.21833254037e+42 -16.7509778626 -15.7449751139 -15.6210172173 -15.3796058904 -15.5281525266 -15.357362805
0.899999488481 1.9897 4.0 1.34274597763e+42 -16.8227034532 -15.7833369459 -15.6865874365 -15.4942233256 -15.5741661224 -15.3374480518
0.899999488481 2.1991 4.0 1.45493326577e+42 -16.9455203885 -15.9078154414 -15.6928268615 -15.5472122347 -15.6872605533 -15.3331074442
0.899999488481 2.4086 4.0 1.53506569698e+42 -16.9673992907 -15.9012175638 -15.7621237824 -15.5329931533 -15.6663804587 -15.3771472204
0.899999488481 2.618 4.0 1.62560756096e+42 -17.0459082926 -15.9673382209 -15.735228639 -15.5704435762 -15.7226244524 -15.3624854614
